activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
Euskara ,2024-02-18 05:23:29,2024-02-18 05:32:46,,,,0:9:17,9
espalda pilates,2024-02-18 05:48:17,2024-02-18 07:32:01,,,,1:43:44,103
coding,2024-02-18 07:31:59,2024-02-18 07:33:07,,,,0:1:8,1
coding,2024-02-18 07:35:50,2024-02-18 07:36:19,,,,0:0:29,0
Izan ,2024-02-18 07:36:22,2024-02-18 08:04:34,,,,0:28:12,28
Work,2024-02-19 05:43:42,2024-02-19 05:53:17,,,,0:9:35,9
Izan ,2024-02-19 05:53:27,2024-02-19 06:29:04,,,,0:35:37,35
Rebeca casa,2024-02-19 06:29:04,2024-02-19 08:14:40,,,,1:45:36,105
Work,2024-02-19 06:29:11,2024-02-19 07:37:47,,,,1:8:36,68
Izan ,2024-02-19 07:37:51,2024-02-19 08:14:26,,,,0:36:35,36
Work,2024-02-19 08:14:33,2024-02-19 09:13:14,,,,0:58:41,58
espalda pilates,2024-02-19 09:13:15,2024-02-19 10:50:37,,,,1:37:22,97
Work,2024-02-19 11:42:32,2024-02-19 12:27:16,,,,0:44:44,44
espalda pilates,2024-02-19 12:27:18,2024-02-19 14:06:21,,,,1:39:3,99
Work,2024-02-19 13:36:26,2024-02-19 16:40:18,,,,3:3:52,183
Izan ,2024-02-19 16:40:21,2024-02-19 17:29:02,,,,0:48:41,48
Work,2024-02-19 17:29:25,2024-02-19 18:51:42,,,,1:22:17,82
Work,2024-02-20 05:14:24,2024-02-20 06:30:26,,,,1:16:2,76
Work,2024-02-20 06:30:30,2024-02-20 07:01:09,,,,0:30:39,30
Work,2024-02-20 07:01:11,2024-02-20 07:43:53,,,,0:42:42,42
Izan ,2024-02-20 07:44:01,2024-02-20 08:20:51,,,,0:36:50,36
Rebeca casa,2024-02-20 07:44:06,2024-02-20 08:20:55,,,,0:36:49,36
espalda pilates,2024-02-20 08:20:04,2024-02-20 08:40:23,,,,0:20:19,20
Rebeca casa,2024-02-20 08:20:55,2024-02-20 08:40:42,,,,0:19:47,19
espalda pilates,2024-02-20 08:40:35,2024-02-20 08:55:41,,,,0:15:6,15
espalda pilates,2024-02-20 08:55:26,2024-02-20 09:59:34,,,,1:4:8,64
Work,2024-02-20 09:59:39,2024-02-20 12:46:57,,,,2:47:18,167
espalda pilates,2024-02-20 12:46:59,2024-02-20 14:32:42,,,,1:45:43,105
Work,2024-02-20 14:02:46,2024-02-20 16:52:55,,,,2:50:9,170
Izan ,2024-02-20 16:53:03,2024-02-20 17:41:15,,,,0:48:12,48
Work,2024-02-20 17:41:28,2024-02-20 18:15:43,,,,0:34:15,34
Rebeca casa,2024-02-20 17:41:32,2024-02-20 18:15:45,,,,0:34:13,34
Casa,2024-02-20 18:15:01,2024-02-20 18:45:25,,,,0:30:24,30
Casa,2024-02-20 18:45:21,2024-02-20 19:40:21,,,,0:55:0,55
Rebeca casa,2024-02-20 18:45:51,2024-02-20 19:40:24,,,,0:54:33,54
Casa,2024-02-20 19:40:17,2024-02-20 20:00:17,,,,0:20:0,20
Work,2024-02-21 04:53:16,2024-02-21 05:36:30,,,,0:43:14,43
espalda pilates,2024-02-21 05:36:43,2024-02-21 05:55:00,,,,0:18:17,18
espalda pilates,2024-02-21 05:55:07,2024-02-21 06:30:43,,,,0:35:36,35
espalda pilates,2024-02-21 06:30:49,2024-02-21 07:02:39,,,,0:31:50,31
espalda pilates,2024-02-21 07:02:44,2024-02-21 07:12:52,,,,0:10:8,10
Rebeca casa,2024-02-21 07:02:49,2024-02-21 07:12:51,,,,0:10:2,10
espalda pilates,2024-02-21 07:12:54,2024-02-21 07:28:56,,,,0:16:2,16
Rebeca casa,2024-02-21 07:29:03,2024-02-21 08:38:15,,,,1:9:12,69
Work,2024-02-21 07:29:08,2024-02-21 07:40:54,,,,0:11:46,11
Izan ,2024-02-21 07:40:03,2024-02-21 08:19:06,,,,0:39:3,39
Work,2024-02-21 08:19:14,2024-02-21 08:38:14,,,,0:19:0,19
Work,2024-02-21 08:38:56,2024-02-21 09:00:27,,,,0:21:31,21
Work,2024-02-21 09:00:46,2024-02-21 11:55:10,,,,2:54:24,174
espalda pilates,2024-02-21 11:55:21,2024-02-21 13:19:15,,,,1:23:54,83
Work,2024-02-21 13:19:31,2024-02-21 16:42:43,,,,3:23:12,203
Izan ,2024-02-21 16:42:48,2024-02-21 17:38:29,,,,0:55:41,55
Casa,2024-02-21 17:38:38,2024-02-21 17:57:28,,,,0:18:50,18
Rebeca casa,2024-02-21 17:39:07,2024-02-21 19:48:30,,,,2:9:23,129
Work,2024-02-21 17:57:35,2024-02-21 18:30:16,,,,0:32:41,32
Work,2024-02-21 18:30:54,2024-02-21 19:00:54,,,,0:30:0,30
Work,2024-02-21 19:00:52,2024-02-21 19:13:52,,,,0:13:0,13
Izan ,2024-02-21 19:13:23,2024-02-21 19:48:29,,,,0:35:6,35
Casa,2024-02-21 19:48:36,2024-02-21 20:30:10,,,,0:41:34,41
Casa,2024-02-21 20:30:51,2024-02-21 20:45:51,,,,0:15:0,15
Work,2024-02-22 06:17:33,2024-02-22 06:41:34,,,,0:24:1,24
Izan ,2024-02-22 06:41:37,2024-02-22 07:12:29,,,,0:30:52,30
Work,2024-02-22 07:12:41,2024-02-22 09:08:30,,,,1:55:49,115
Work,2024-02-22 09:08:26,2024-02-22 09:38:46,,,,0:30:20,30
Rebeca casa,2024-02-22 09:08:37,2024-02-22 12:22:26,,,,3:13:49,193
espalda pilates,2024-02-22 09:38:26,2024-02-22 10:15:38,,,,0:37:12,37
Casa,2024-02-22 10:15:00,2024-02-22 11:00:23,,,,0:45:23,45
