,working days,actual hours,required hours,difference,cumulative difference,start date,end date
Feb19 - Feb23,5,46.733333333333334,42.5,4.233333333333334,4.233333333333334,2024-02-19,2024-02-23
Feb26 - Mar1,5,50.516666666666666,42.5,8.016666666666666,12.25,2024-02-26,2024-03-01
Mar4 - Mar8,5,42.733333333333334,42.5,0.23333333333333428,12.483333333333334,2024-03-04,2024-03-08
Mar12 - Mar15,4,31.05,34.0,-2.9499999999999993,9.533333333333335,2024-03-12,2024-03-15
Mar19 - Mar22,4,27.083333333333336,32.0,-4.916666666666664,4.616666666666671,2024-03-19,2024-03-22
Mar25 - Mar29,5,41.13333333333333,40.0,1.1333333333333329,5.7500000000000036,2024-03-25,2024-03-29
Apr2 - Apr5,4,41.516666666666666,32.0,9.516666666666666,15.26666666666667,2024-04-02,2024-04-05
Apr9 - Apr10,2,14.133333333333333,16.0,-1.8666666666666671,13.400000000000002,2024-04-09,2024-04-10
Apr16 - Apr19,4,28.55,32.0,-3.4499999999999993,9.950000000000003,2024-04-16,2024-04-19
Apr22 - Apr25,4,29.5,32.0,-2.5,7.450000000000003,2024-04-22,2024-04-25
Apr29 - May2,3,24.71666666666667,24.0,0.7166666666666686,8.166666666666671,2024-04-29,2024-05-02
May7 - May8,2,13.683333333333334,16.0,-2.3166666666666664,5.850000000000005,2024-05-07,2024-05-08
May13 - May17,5,33.38333333333333,40.0,-6.616666666666667,-0.7666666666666622,2024-05-13,2024-05-17
May20 - May24,5,44.266666666666666,40.0,4.266666666666666,3.5000000000000036,2024-05-20,2024-05-24
May27 - May31,5,37.550000000000004,40.0,-2.4499999999999957,1.0500000000000078,2024-05-27,2024-05-31
Jun4 - Jun6,3,22.03333333333333,24.0,-1.9666666666666686,-0.9166666666666607,2024-06-04,2024-06-06
Jun10 - Jun14,5,37.13333333333333,40.0,-2.866666666666667,-3.783333333333328,2024-06-10,2024-06-14
Jun17 - Jun21,5,34.75,40.0,-5.25,-9.033333333333328,2024-06-17,2024-06-21
Jun25 - Jun28,4,36.38333333333333,32.0,4.383333333333333,-4.649999999999995,2024-06-25,2024-06-28
Jul1 - Jul5,4,36.38333333333333,32.0,4.383333333333333,-0.26666666666666217,2024-07-01,2024-07-05
Jul8 - Jul12,5,53.85,40.0,13.850000000000001,13.58333333333334,2024-07-08,2024-07-12
Jul22 - Jul26,5,36.6,40.0,-3.3999999999999986,10.18333333333334,2024-07-22,2024-07-26
Jul29 - Aug2,5,35.983333333333334,40.0,-4.016666666666666,6.166666666666675,2024-07-29,2024-08-02
